name	type	country	collector	extra_data
TES_24	Bond	Col	{"sen":"TFIT16240724_000_000","bvc":"TFIT16240724"}	xxx
TES_25	Bond	Col	{"sen":"TFIT08261125_000_000","bvc":"TFIT08261125"}	xxx
TES_26	Bond	Col	{"sen":"TFIT15260826_000_000","bvc":"TFIT15260826"}	xxx
TES_27	Bond	Col	{"sen":"TFIT08031127_000_000","bvc":"TFIT08031127"}	xxx
TES_28	Bond	Col	{"sen":"TFIT16280428_000_000","bvc":"TFIT16280428"}	xxx
TES_30	Bond	Col	{"sen":"TFIT16180930_000_000","bvc":"TFIT16180930"}	xxx
TES_31	Bond	Col	{"sen":"TFIT10260331_000_000","bvc":"TFIT10260331"}	xxx
TES_32	Bond	Col	{"sen":"TFIT16300632_000_000","bvc":"TFIT16300632"}	xxx
TES_33	Bond	Col	{"sen":"TFIT11090233_000_000","bvc":"TFIT11090233"}	xxx
TES_34	Bond	Col	{"sen":"TFIT16181034_000_000","bvc":"TFIT16181034"}	xxx
TES_36	Bond	Col	{"sen":"TFIT16090736_000_000","bvc":"TFIT16090736"}	xxx
TES_42	Bond	Col	{"sen":"TFIT21280542_000_000","bvc":"TFIT21280542"}	xxx
TES_50	Bond	Col	{"sen":"TFIT31261050_000_000","bvc":"TFIT31261050"}	xxx
TESV_31	Bond	Col	{"sen":"TFVT10260331_000_000","bvc":"TFVT10260331"}	xxx
UVR_25	Bond	Col	{"sen":"TUVT11070525_000_000","bvc":"TUVT11070525"}	xxx
UVR_27	Bond	Col	{"sen":"TUVT11170327_000_000","bvc":"TUVT11170327"}	xxx
UVR_29	Bond	Col	{"sen":"TUVT10180429_000_000","bvc":"TUVT10180429"}	xxx
UVR_33	Bond	Col	{"sen":"TUVT20250333_000_000","bvc":"TUVT20250333"}	xxx
UVR_35	Bond	Col	{"sen":"TUVT20040435_000_000","bvc":"TUVT20040435"}	xxx
UVR_37	Bond	Col	{"sen":"TUVT18250237_000_000","bvc":"TUVT18250237"}	xxx
UVR_49	Bond	Col	{"sen":"TUVT32160649_000_000","bvc":"TUVT32160649"}	xxx